Invoice ID,Branch,Yangon,Naypyitaw,Mandalay,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,branch_city_num,branch_city,Day,Month_numeric,Year,Month_string
371-85-5789,B,0,0,1,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40:00 AM,Ewallet,5.1,0,Mandalay,5,3,2019,March
273-16-6619,B,0,0,1,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20:00 PM,Credit card,4.4,0,Mandalay,15,3,2019,March
636-48-8204,A,1,0,0,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15:00 AM,Ewallet,9.9,2,Yangon,17,2,2019,February
549-59-1358,A,1,0,0,Normal,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,05:36:00 PM,Ewallet,6.0,2,Yangon,2,3,2019,March
227-03-5010,A,1,0,0,Normal,Male,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,07:20:00 PM,Credit card,8.5,2,Yangon,22,3,2019,March
649-29-6775,B,0,0,1,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,03:31:00 PM,Cash,6.7,0,Mandalay,8,2,2019,February
189-17-4241,A,1,0,0,Normal,Male,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17:00 PM,Credit card,7.7,2,Yangon,10,3,2019,March
145-94-9061,B,0,0,1,Normal,Male,Food and beverages,88.36,5,22.09,463.89,2019-01-25,07:48:00 PM,Cash,9.6,0,Mandalay,25,1,2019,January
848-62-7243,A,1,0,0,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,03:36:00 PM,Cash,7.4,2,Yangon,15,3,2019,March
871-79-8483,B,0,0,1,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,07:39:00 PM,Credit card,4.8,0,Mandalay,25,2,2019,February
149-71-6266,B,0,0,1,Normal,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43:00 PM,Cash,4.5,0,Mandalay,28,1,2019,January
640-49-2076,B,0,0,1,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,02:49:00 PM,Cash,5.1,0,Mandalay,10,1,2019,January
595-11-5460,A,1,0,0,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12:00 AM,Credit card,5.1,2,Yangon,15,3,2019,March
183-56-6882,C,0,1,0,Normal,Male,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42:00 AM,Ewallet,7.5,1,Naypyitaw,6,2,2019,February
232-16-2483,C,0,1,0,Normal,Male,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:28:00 PM,Ewallet,6.8,1,Naypyitaw,7,1,2019,January
129-29-8530,A,1,0,0,Normal,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,07:15:00 PM,Ewallet,7.0,2,Yangon,10,3,2019,March
272-65-1806,A,1,0,0,Normal,Male,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,05:17:00 PM,Ewallet,4.7,2,Yangon,15,1,2019,January
333-73-7901,C,0,1,0,Normal,Male,Health and beauty,54.92,8,21.968,461.328,2019-03-23,01:24:00 PM,Ewallet,7.6,1,Naypyitaw,23,3,2019,March
777-82-7220,B,0,0,1,Normal,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,01:01:00 PM,Cash,7.7,0,Mandalay,3,3,2019,March
280-35-5823,B,0,0,1,Normal,Male,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,06:45:00 PM,Ewallet,7.9,0,Mandalay,17,1,2019,January
554-53-8700,C,0,1,0,Normal,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11:00 AM,Cash,6.3,1,Naypyitaw,2,2,2019,February
354-25-5821,B,0,0,1,Normal,Male,Sports and travel,69.12,6,20.736,435.456,2019-02-08,01:03:00 PM,Cash,5.6,0,Mandalay,8,2,2019,February
228-96-1411,C,0,1,0,Normal,Male,Food and beverages,98.7,8,39.48,829.08,2019-03-04,08:39:00 PM,Cash,7.6,1,Naypyitaw,4,3,2019,March
617-15-4209,C,0,1,0,Normal,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,07:47:00 PM,Cash,7.2,1,Naypyitaw,16,3,2019,March
132-32-9879,B,0,0,1,Normal,Male,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,06:00:00 PM,Cash,9.5,0,Mandalay,9,3,2019,March
370-41-7321,B,0,0,1,Normal,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,05:24:00 PM,Credit card,8.4,0,Mandalay,27,2,2019,February
727-46-3608,B,0,0,1,Normal,Male,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,03:47:00 PM,Ewallet,4.1,0,Mandalay,6,2,2019,February
669-54-1719,B,0,0,1,Normal,Male,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,12:45:00 PM,Credit card,8.1,0,Mandalay,10,2,2019,February
574-22-5561,C,0,1,0,Normal,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,05:08:00 PM,Ewallet,7.9,1,Naypyitaw,19,3,2019,March
326-78-5178,C,0,1,0,Normal,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19:00 AM,Cash,9.5,1,Naypyitaw,3,2,2019,February
162-48-8011,A,1,0,0,Normal,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,03:10:00 PM,Cash,8.5,2,Yangon,10,2,2019,February
616-24-2851,B,0,0,1,Normal,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,02:42:00 PM,Ewallet,6.5,0,Mandalay,22,3,2019,March
778-71-5554,C,0,1,0,Normal,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,03:46:00 PM,Credit card,6.1,1,Naypyitaw,25,1,2019,January
242-55-6721,B,0,0,1,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,11:49:00 AM,Ewallet,6.5,0,Mandalay,7,3,2019,March
399-46-5918,C,0,1,0,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,07:01:00 PM,Cash,8.2,1,Naypyitaw,28,2,2019,February
106-35-6779,A,1,0,0,Normal,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26:00 AM,Cash,5.8,2,Yangon,27,3,2019,March
635-40-6220,A,1,0,0,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28:00 AM,Ewallet,6.6,2,Yangon,7,2,2019,February
817-48-8732,A,1,0,0,Normal,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,03:55:00 PM,Cash,5.4,2,Yangon,20,1,2019,January
120-06-4233,C,0,1,0,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,08:36:00 PM,Cash,9.3,1,Naypyitaw,12,3,2019,March
285-68-5083,C,0,1,0,Normal,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,05:47:00 PM,Credit card,10.0,1,Naypyitaw,15,2,2019,February
803-83-5989,C,0,1,0,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55:00 AM,Ewallet,7.0,1,Naypyitaw,24,2,2019,February
347-34-2234,B,0,0,1,Normal,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,01:40:00 PM,Ewallet,10.0,0,Mandalay,3,2,2019,February
199-75-8169,A,1,0,0,Normal,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27:00 PM,Credit card,8.6,2,Yangon,6,3,2019,March
853-23-2453,B,0,0,1,Normal,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,02:35:00 PM,Cash,7.6,0,Mandalay,14,2,2019,February
877-22-3308,A,1,0,0,Normal,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,04:40:00 PM,Cash,5.8,2,Yangon,13,3,2019,March
838-78-4295,C,0,1,0,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,03:43:00 PM,Ewallet,6.7,1,Naypyitaw,10,2,2019,February
109-28-2512,B,0,0,1,Normal,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,03:01:00 PM,Ewallet,9.9,0,Mandalay,7,1,2019,January
232-11-3025,A,1,0,0,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04:00 AM,Cash,6.4,2,Yangon,24,1,2019,January
382-03-4532,A,1,0,0,Normal,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,06:50:00 PM,Cash,4.3,2,Yangon,2,2,2019,February
393-65-2792,C,0,1,0,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46:00 PM,Credit card,9.6,1,Naypyitaw,6,1,2019,January
796-12-2025,C,0,1,0,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,04:19:00 PM,Cash,5.9,1,Naypyitaw,11,2,2019,February
510-95-6347,B,0,0,1,Normal,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,06:17:00 PM,Ewallet,4.0,0,Mandalay,5,3,2019,March
841-35-6630,C,0,1,0,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,06:21:00 PM,Cash,8.7,1,Naypyitaw,9,3,2019,March
287-21-9091,A,1,0,0,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55:00 AM,Ewallet,9.4,2,Yangon,22,1,2019,January
732-94-0499,C,0,1,0,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,05:04:00 PM,Credit card,5.4,1,Naypyitaw,13,1,2019,January
263-10-3913,C,0,1,0,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,02:20:00 PM,Credit card,8.6,1,Naypyitaw,9,1,2019,January
381-20-0914,A,1,0,0,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,03:48:00 PM,Credit card,5.7,2,Yangon,12,1,2019,January
829-49-1914,C,0,1,0,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,04:24:00 PM,Ewallet,6.6,1,Naypyitaw,5,3,2019,March
756-01-7507,C,0,1,0,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,06:56:00 PM,Cash,6.0,1,Naypyitaw,22,1,2019,January
870-72-4431,C,0,1,0,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,02:42:00 PM,Credit card,5.5,1,Naypyitaw,21,1,2019,January
847-38-7188,B,0,0,1,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,07:56:00 PM,Ewallet,6.4,0,Mandalay,26,1,2019,January
480-63-2856,C,0,1,0,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,06:37:00 PM,Ewallet,6.6,1,Naypyitaw,23,1,2019,January
787-56-0757,C,0,1,0,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,06:45:00 PM,Credit card,8.3,1,Naypyitaw,23,2,2019,February
360-39-5055,C,0,1,0,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17:00 AM,Cash,6.6,1,Naypyitaw,9,3,2019,March
730-50-9884,C,0,1,0,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,02:31:00 PM,Ewallet,4.0,1,Naypyitaw,5,3,2019,March
362-58-8315,C,0,1,0,Normal,Male,Fashion accessories,76.52,5,19.130000000000052,401.73,2019-03-25,10:23:00 AM,Cash,9.9,1,Naypyitaw,25,3,2019,March
633-44-8566,A,1,0,0,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,08:35:00 PM,Credit card,7.3,2,Yangon,27,3,2019,March
504-35-8843,A,1,0,0,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,04:57:00 PM,Cash,5.7,2,Yangon,2,1,2019,January
318-68-5053,B,0,0,1,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,05:55:00 PM,Cash,6.1,0,Mandalay,27,2,2019,February
565-80-5980,C,0,1,0,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25:00 AM,Cash,7.1,1,Naypyitaw,23,1,2019,January
225-32-0908,C,0,1,0,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,07:54:00 PM,Ewallet,8.2,1,Naypyitaw,26,1,2019,January
873-51-0671,A,1,0,0,Member,Female,Sports and travel,21.98,7,7.692999999999984,161.553,2019-01-10,04:42:00 PM,Ewallet,5.1,2,Yangon,10,1,2019,January
152-08-9985,B,0,0,1,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09:00 PM,Credit card,8.6,0,Mandalay,12,3,2019,March
512-91-0811,C,0,1,0,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,08:05:00 PM,Credit card,6.6,1,Naypyitaw,6,2,2019,February
594-34-4444,A,1,0,0,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,08:38:00 PM,Ewallet,7.2,2,Yangon,8,3,2019,March
766-85-7061,B,0,0,1,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25:00 AM,Ewallet,5.1,0,Mandalay,29,3,2019,March
871-39-9221,C,0,1,0,Normal,Female,Electronic accessories,12.45,6,3.7350000000000136,78.435,2019-02-09,01:11:00 PM,Cash,4.1,1,Naypyitaw,9,2,2019,February
865-92-6136,A,1,0,0,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16:00 AM,Ewallet,9.3,2,Yangon,23,3,2019,March
733-01-9107,B,0,0,1,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,06:14:00 PM,Cash,7.4,0,Mandalay,5,3,2019,March
163-56-7055,C,0,1,0,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,07:20:00 PM,Cash,4.1,1,Naypyitaw,26,3,2019,March
189-98-2939,C,0,1,0,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,01:22:00 PM,Cash,7.2,1,Naypyitaw,1,3,2019,March
551-21-3069,C,0,1,0,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27:00 AM,Cash,4.9,1,Naypyitaw,1,2,2019,February
212-62-1842,A,1,0,0,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,04:44:00 PM,Cash,9.9,2,Yangon,28,3,2019,March
716-39-1409,B,0,0,1,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,06:19:00 PM,Cash,8.0,0,Mandalay,19,3,2019,March
704-48-3927,A,1,0,0,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,02:50:00 PM,Ewallet,7.3,2,Yangon,12,1,2019,January
628-34-3388,C,0,1,0,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,08:54:00 PM,Credit card,7.9,1,Naypyitaw,5,1,2019,January
630-74-5166,A,1,0,0,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,08:19:00 PM,Cash,7.4,2,Yangon,22,3,2019,March
588-01-7461,C,0,1,0,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,10:43:00 AM,Cash,4.2,1,Naypyitaw,24,3,2019,March
861-77-0145,C,0,1,0,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,02:30:00 PM,Cash,9.2,1,Naypyitaw,3,3,2019,March
479-26-8945,B,0,0,1,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:32:00 AM,Ewallet,4.6,0,Mandalay,5,2,2019,February
210-67-5886,C,0,1,0,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41:00 AM,Credit card,7.8,1,Naypyitaw,5,2,2019,February
227-78-1148,B,0,0,1,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44:00 PM,Cash,8.4,0,Mandalay,15,2,2019,February
645-44-1170,A,1,0,0,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,08:07:00 PM,Ewallet,4.3,2,Yangon,19,1,2019,January
237-01-6122,C,0,1,0,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,08:31:00 PM,Credit card,9.5,1,Naypyitaw,1,2,2019,February
225-98-1496,C,0,1,0,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,01:01:00 PM,Credit card,7.1,1,Naypyitaw,2,3,2019,March
291-32-1427,B,0,0,1,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29:00 PM,Ewallet,5.3,0,Mandalay,5,3,2019,March
659-65-8956,B,0,0,1,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,03:26:00 PM,Ewallet,5.2,0,Mandalay,16,1,2019,January
642-32-2990,A,1,0,0,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,08:48:00 PM,Ewallet,6.0,2,Yangon,2,2,2019,February
378-24-2715,B,0,0,1,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,08:38:00 PM,Ewallet,4.1,0,Mandalay,20,1,2019,January
638-60-7125,A,1,0,0,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,05:03:00 PM,Credit card,5.2,2,Yangon,14,2,2019,February
659-36-1684,C,0,1,0,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02:00 PM,Credit card,6.5,1,Naypyitaw,12,1,2019,January
219-22-9386,B,0,0,1,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,05:26:00 PM,Credit card,4.2,0,Mandalay,9,3,2019,March
336-78-2147,C,0,1,0,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,07:52:00 PM,Credit card,4.6,1,Naypyitaw,13,3,2019,March
268-27-6179,B,0,0,1,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,02:57:00 PM,Ewallet,7.3,0,Mandalay,9,3,2019,March
668-90-8900,A,1,0,0,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,06:44:00 PM,Credit card,4.5,2,Yangon,10,3,2019,March
870-54-3162,A,1,0,0,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,01:26:00 PM,Cash,9.0,2,Yangon,27,1,2019,January
189-08-9157,C,0,1,0,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,04:17:00 PM,Credit card,5.9,1,Naypyitaw,8,1,2019,January
663-86-9076,C,0,1,0,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,03:57:00 PM,Ewallet,8.5,1,Naypyitaw,8,1,2019,January
549-84-7482,B,0,0,1,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15:00 AM,Ewallet,7.2,0,Mandalay,8,2,2019,February
191-10-6171,B,0,0,1,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,01:18:00 PM,Cash,7.5,0,Mandalay,25,1,2019,January
802-70-5316,A,1,0,0,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,08:34:00 PM,Cash,8.3,2,Yangon,6,3,2019,March
695-51-0018,B,0,0,1,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,06:36:00 PM,Cash,7.4,0,Mandalay,10,2,2019,February
590-83-4591,B,0,0,1,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,02:40:00 PM,Credit card,8.8,0,Mandalay,17,2,2019,February
483-71-1164,C,0,1,0,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,04:43:00 PM,Ewallet,5.3,1,Naypyitaw,8,3,2019,March
597-78-7908,C,0,1,0,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,07:39:00 PM,Cash,6.2,1,Naypyitaw,18,2,2019,February
700-81-1757,A,1,0,0,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,08:59:00 PM,Credit card,8.8,2,Yangon,18,1,2019,January
354-39-5160,A,1,0,0,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,03:39:00 PM,Cash,9.8,2,Yangon,18,2,2019,February
241-72-9525,B,0,0,1,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2019-02-16,12:21:00 PM,Cash,8.2,0,Mandalay,16,2,2019,February
575-30-8091,A,1,0,0,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,07:25:00 PM,Ewallet,9.2,2,Yangon,16,3,2019,March
731-81-9469,C,0,1,0,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,01:00:00 PM,Credit card,5.4,1,Naypyitaw,23,1,2019,January
280-17-4359,C,0,1,0,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,01:48:00 PM,Cash,8.1,1,Naypyitaw,25,1,2019,January
338-65-2210,C,0,1,0,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,07:57:00 PM,Cash,9.1,1,Naypyitaw,5,2,2019,February
488-25-4221,C,0,1,0,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2019-02-22,10:36:00 AM,Credit card,8.4,1,Naypyitaw,22,2,2019,February
239-10-7476,A,1,0,0,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,04:37:00 PM,Ewallet,8.0,2,Yangon,21,1,2019,January
458-41-1477,C,0,1,0,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2019-03-08,05:11:00 PM,Credit card,9.5,1,Naypyitaw,8,3,2019,March
685-64-1609,A,1,0,0,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28:00 PM,Ewallet,9.2,2,Yangon,10,2,2019,February
568-90-5112,C,0,1,0,Normal,Male,Health and beauty,66.14,4,13.228,277.788,2019-03-19,12:46:00 PM,Credit card,5.6,1,Naypyitaw,19,3,2019,March
262-47-2794,B,0,0,1,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,03:07:00 PM,Credit card,6.2,0,Mandalay,6,3,2019,March
238-49-0436,A,1,0,0,Normal,Male,Health and beauty,32.46,8,12.984,272.664,2019-03-27,01:48:00 PM,Credit card,4.9,2,Yangon,27,3,2019,March
608-96-3517,B,0,0,1,Member,Female,Fashion accessories,91.54,4,18.308,384.468,2019-03-23,07:20:00 PM,Credit card,4.8,0,Mandalay,23,3,2019,March
584-86-7256,C,0,1,0,Member,Male,Sports and travel,34.56,7,12.096,254.016,2019-03-11,04:07:00 PM,Credit card,7.3,1,Naypyitaw,11,3,2019,March
746-94-0204,A,1,0,0,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,11:56:00 AM,Credit card,7.4,2,Yangon,29,1,2019,January
214-17-6927,C,0,1,0,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2019-02-07,06:23:00 PM,Ewallet,9.9,1,Naypyitaw,7,2,2019,February
400-89-4171,C,0,1,0,Normal,Female,Sports and travel,80.97,8,32.388,680.148,2019-01-28,01:05:00 PM,Cash,9.3,1,Naypyitaw,28,1,2019,January
782-95-9291,A,1,0,0,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2019-02-20,03:55:00 PM,Credit card,9.0,2,Yangon,20,2,2019,February
279-74-2924,B,0,0,1,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,07:40:00 PM,Cash,6.1,0,Mandalay,4,1,2019,January
307-85-2293,B,0,0,1,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,01:58:00 PM,Ewallet,9.7,0,Mandalay,7,3,2019,March
743-04-1105,B,0,0,1,Member,Male,Health and beauty,97.22,9,43.749,918.729,2019-03-30,02:43:00 PM,Ewallet,6.0,0,Mandalay,30,3,2019,March
